		ЗАТВЕРДЖУЮ			
		Декан факультету________А.М. Глибовець			
					
		" 24 " серпня 2023р.			
					
Факультет інформатики					
Спеціальність "Інженерія програмного забезпечення ", 3 р.н.					
Розклад занять на осінній семестр 2023-2024 н.р.					
					
День	Час	Дисципліна, викладач	Група	Тижні	Аудиторія
Понеділок	8:30-9:50				
	10:00-11:20	Методи об'єктно-орієнтованого програмування, доц. В.В. Бублик	лекція	1-11	Дистанційно
	11:40-13:00	Методи об'єктно-орієнтованого програмування, доц. В.В. Бублик	1	1-10	Дистанційно
	13:30-14:50	Системне програмування, доц. О.П. Жежерун	лекція	1-10	Дистанційно
	15:00-16:20	Системне програмування, доц. О.П. Жежерун	1	1-11	Дистанційно
	16:30-17:50	Системне програмування, доц. О.П. Жежерун	2	1-11	Дистанційно
	18:00-19:20	Системне програмування, доц. О.П. Жежерун	3	1-11	Дистанційно
Вівторок	8:30-9:50	Комп'ютерна вірусологія, ст.викл. О.В. Кирієнко	лекція	1-5	Дистанційно
	10:00-11:20	Комп'ютерна вірусологія, ст.викл. О.В. Кирієнко	1	1-8	Дистанційно
		Комп'ютерна вірусологія, ст.викл. О. М. Пєчкурова	2	1-8	Дистанційно
	11:40-13:01	Комп'ютерна вірусологія, ст.викл. О.В. Кирієнко	3	1-8	Дистанційно
		Комп'ютерна вірусологія, ст.викл. О. М. Пєчкурова	4	1-8	Дистанційно
	13:30-14:50	Пошукова оптимізація Веб-застосувань, ас. В.В. Цуд	лекція	1-11	Дистанційно
	15:00-16:20	Пошукова оптимізація Веб-застосувань, ас. В.В. Цуд	1	1-10	Дистанційно
		Системне програмування, доц. О.П. Жежерун	4	1-11	Дистанційно
	16:30-17:50	Системне програмування, доц. О.П. Жежерун	5	1-11	Дистанційно
		Пошукова оптимізація Веб-застосувань, ас. В.В. Цуд	2	1-10	Дистанційно
	18:00-19:20				
Середа	8:30-9:50	Інструменти та принципи веб-розробки, ас. Д.В. Зважій	лекція	1-8	Дистанційно
	10:00-11:20	Технологія мультимедіа, доц. А.О. Афонін	лекція	2-8	Дистанційно
	11:40-13:00	Мова програмування Swift, ас. .О.О.Франків	3	2-8	Дистанційно
		Інформаційна безпека веб-застосунків,  ас. С. В.Яремко	10	2-11	Дистанційно
		Технологія мультимедіа, доц. А.О. Афонін	1	2-9	Дистанційно
	13:30-14:50	Мова програмування Swift, ас. .О.О.Франків	4	2-8	Дистанційно
		Технологія мультимедіа, доц. А.О. Афонін	2	2-9	Дистанційно
	15:00-16:20	Мова програмування Swift, ас. .О.О.Франків	лекція	1-8	Дистанційно
	16:30-17:50	Мова програмування Swift, ас. .О.О.Франків	1	1-7	Дистанційно
		Інформаційна безпека веб-застосунків, ас. О.В,Радзієвська	8	2-11	Дистанційно
	18:00-19:20	Інформаційна безпека веб-застосунків, ас. О.В,Радзієвська	9	2-11	Дистанційно
		Мова програмування Swift, ас. .О.О.Франків	2	1-7	Дистанційно
Четвер	8:30-9:50	Основи роботи з фреймворком Spring Boot, ас. М.В. Андрощук	лекція	1-13	Дистанційно
	10:00-11:20	Функціональне програмування, доц. В.С. Проценко	лекція	1-10	Дистанційно
	11:40-13:00	Функціональне програмування, доц. В.С. Проценко	1	1-11	Дистанційно
					
	13:30-14:50	Розробка користувацького інтерфейсу (UI/UX), ас. О.В. Бітаєва	лекція	1-11	Дистанційно
	15:00-16:20	Розробка користувацького інтерфейсу (UI/UX), ас. О.В. Бітаєва	1	1-12	Дистанційно
		Функціональне програмування, ас. О.В.Радзієвська	4	2-12	Дистанційно
	16:30-17:50	Функціональне програмування, ас. О.В.Радзієвська	3	2-12	Дистанційно
		Розробка користувацького інтерфейсу (UI/UX), ас. О.В. Бітаєва	2	1-12	Дистанційно
	18:00-19:20	Функціональне програмування,  ас. О.В,Радзієвська	5	1-11	Дистанційно
		Розробка користувацького інтерфейсу (UI/UX), ас. О.В. Бітаєва	3	1-12	Дистанційно
П`ятниця	8:30-9:50	Основи роботи з фреймворком Spring Boot, ас. М.В. Андрощук	1	1-14	Дистанційно
		Інструменти та принципи веб-розробки, ас. Д.В. Зважій	3	1-7	Дистанційно
	10:00-11:20	Основи роботи з фреймворком Spring Boot, ас. М.В. Андрощук	2	1-14	Дистанційно
		Інструменти та принципи веб-розробки, ас. Д.В. Зважій	1	1-7	Дистанційно
	11:40-13:00	Основи роботи з фреймворком Spring Boot, ас. М.В. Андрощук	3	1-14	Дистанційно
		Інструменти та принципи веб-розробки, ас. Д.В. Зважій	4	1-7	Дистанційно
		Функціональне програмування, доц. В.С. Проценко	2	1-11	Дистанційно
	13:30-14:50	Інструменти та принципи веб-розробки, ас. Д.В. Зважій	2	1-7	Дистанційно
					
	15:00-16:20	Інформаційна безпека веб-застосунків, ас. Т.А. Бабич	лекція	1-10	Дистанційно
	16:30-17:50	Інформаційна безпека веб-застосунків, ас. О.В,Радзієвська	1	1-10	Дистанційно
	18:00-19:20	Інформаційна безпека веб-застосунків, ас. О.В,Радзієвська	2	1-10	Дистанційно
